,date_time,date_time_str
2,1662885134.5,2022-09-11 09:32:14.500000
3,1662885134.75,2022-09-11 09:32:14.750000
4,1662885135.0,2022-09-11 09:32:15.000000
5,1662885135.25,2022-09-11 09:32:15.250000
239,1662885193.75,2022-09-11 09:33:13.750000
1255,1662885447.75,2022-09-11 09:37:27.750000
1439,1662885493.75,2022-09-11 09:38:13.750000
3063,1662885899.75,2022-09-11 09:44:59.750000
3064,1662885900.0,2022-09-11 09:45:00.000000
3065,1662885900.25,2022-09-11 09:45:00.250000
3066,1662885900.5,2022-09-11 09:45:00.500000
3067,1662885900.75,2022-09-11 09:45:00.750000
3068,1662885901.0,2022-09-11 09:45:01.000000
3069,1662885901.25,2022-09-11 09:45:01.250000
3070,1662885901.5,2022-09-11 09:45:01.500000
3071,1662885901.75,2022-09-11 09:45:01.750000
3072,1662885902.0,2022-09-11 09:45:02.000000
3073,1662885902.25,2022-09-11 09:45:02.250000
3074,1662885902.5,2022-09-11 09:45:02.500000
3075,1662885902.75,2022-09-11 09:45:02.750000
3076,1662885903.0,2022-09-11 09:45:03.000000
3077,1662885903.25,2022-09-11 09:45:03.250000
3078,1662885903.5,2022-09-11 09:45:03.500000
3079,1662885903.75,2022-09-11 09:45:03.750000
3080,1662885904.0,2022-09-11 09:45:04.000000
3081,1662885904.25,2022-09-11 09:45:04.250000
3082,1662885904.5,2022-09-11 09:45:04.500000
3083,1662885904.75,2022-09-11 09:45:04.750000
3084,1662885905.0,2022-09-11 09:45:05.000000
3085,1662885905.25,2022-09-11 09:45:05.250000
3086,1662885905.5,2022-09-11 09:45:05.500000
3087,1662885905.75,2022-09-11 09:45:05.750000
3088,1662885906.0,2022-09-11 09:45:06.000000
3089,1662885906.25,2022-09-11 09:45:06.250000
3090,1662885906.5,2022-09-11 09:45:06.500000
3091,1662885906.75,2022-09-11 09:45:06.750000
3092,1662885907.0,2022-09-11 09:45:07.000000
3093,1662885907.25,2022-09-11 09:45:07.250000
3094,1662885907.5,2022-09-11 09:45:07.500000
3095,1662885907.75,2022-09-11 09:45:07.750000
3096,1662885908.0,2022-09-11 09:45:08.000000
3097,1662885908.25,2022-09-11 09:45:08.250000
3098,1662885908.5,2022-09-11 09:45:08.500000
3099,1662885908.75,2022-09-11 09:45:08.750000
3100,1662885909.0,2022-09-11 09:45:09.000000
3101,1662885909.25,2022-09-11 09:45:09.250000
3102,1662885909.5,2022-09-11 09:45:09.500000
3103,1662885909.75,2022-09-11 09:45:09.750000
3104,1662885910.0,2022-09-11 09:45:10.000000
3105,1662885910.25,2022-09-11 09:45:10.250000
3106,1662885910.5,2022-09-11 09:45:10.500000
3107,1662885910.75,2022-09-11 09:45:10.750000
3108,1662885911.0,2022-09-11 09:45:11.000000
3109,1662885911.25,2022-09-11 09:45:11.250000
3110,1662885911.5,2022-09-11 09:45:11.500000
3111,1662885911.75,2022-09-11 09:45:11.750000
3112,1662885912.0,2022-09-11 09:45:12.000000
3113,1662885912.25,2022-09-11 09:45:12.250000
3114,1662885912.5,2022-09-11 09:45:12.500000
3115,1662885912.75,2022-09-11 09:45:12.750000
3116,1662885913.0,2022-09-11 09:45:13.000000
3117,1662885913.25,2022-09-11 09:45:13.250000
3118,1662885913.5,2022-09-11 09:45:13.500000
3119,1662885913.75,2022-09-11 09:45:13.750000
3120,1662885914.0,2022-09-11 09:45:14.000000
3121,1662885914.25,2022-09-11 09:45:14.250000
3122,1662885914.5,2022-09-11 09:45:14.500000
3123,1662885914.75,2022-09-11 09:45:14.750000
3124,1662885915.0,2022-09-11 09:45:15.000000
3125,1662885915.25,2022-09-11 09:45:15.250000
3126,1662885915.5,2022-09-11 09:45:15.500000
3127,1662885915.75,2022-09-11 09:45:15.750000
3128,1662885916.0,2022-09-11 09:45:16.000000
3129,1662885916.25,2022-09-11 09:45:16.250000
3130,1662885916.5,2022-09-11 09:45:16.500000
3131,1662885916.75,2022-09-11 09:45:16.750000
3132,1662885917.0,2022-09-11 09:45:17.000000
3133,1662885917.25,2022-09-11 09:45:17.250000
3134,1662885917.5,2022-09-11 09:45:17.500000
3135,1662885917.75,2022-09-11 09:45:17.750000
3136,1662885918.0,2022-09-11 09:45:18.000000
3137,1662885918.25,2022-09-11 09:45:18.250000
3138,1662885918.5,2022-09-11 09:45:18.500000
3139,1662885918.75,2022-09-11 09:45:18.750000
3140,1662885919.0,2022-09-11 09:45:19.000000
3141,1662885919.25,2022-09-11 09:45:19.250000
3142,1662885919.5,2022-09-11 09:45:19.500000
3143,1662885919.75,2022-09-11 09:45:19.750000
3144,1662885920.0,2022-09-11 09:45:20.000000
3145,1662885920.25,2022-09-11 09:45:20.250000
3146,1662885920.5,2022-09-11 09:45:20.500000
3147,1662885920.75,2022-09-11 09:45:20.750000
3148,1662885921.0,2022-09-11 09:45:21.000000
3149,1662885921.25,2022-09-11 09:45:21.250000
3150,1662885921.5,2022-09-11 09:45:21.500000
3151,1662885921.75,2022-09-11 09:45:21.750000
3152,1662885922.0,2022-09-11 09:45:22.000000
3153,1662885922.25,2022-09-11 09:45:22.250000
3154,1662885922.5,2022-09-11 09:45:22.500000
3155,1662885922.75,2022-09-11 09:45:22.750000
3156,1662885923.0,2022-09-11 09:45:23.000000
3157,1662885923.25,2022-09-11 09:45:23.250000
3158,1662885923.5,2022-09-11 09:45:23.500000
3159,1662885923.75,2022-09-11 09:45:23.750000
3160,1662885924.0,2022-09-11 09:45:24.000000
3161,1662885924.25,2022-09-11 09:45:24.250000
3162,1662885924.5,2022-09-11 09:45:24.500000
3163,1662885924.75,2022-09-11 09:45:24.750000
3164,1662885925.0,2022-09-11 09:45:25.000000
3165,1662885925.25,2022-09-11 09:45:25.250000
3166,1662885925.5,2022-09-11 09:45:25.500000
3167,1662885925.75,2022-09-11 09:45:25.750000
3168,1662885926.0,2022-09-11 09:45:26.000000
3169,1662885926.25,2022-09-11 09:45:26.250000
3170,1662885926.5,2022-09-11 09:45:26.500000
3171,1662885926.75,2022-09-11 09:45:26.750000
3172,1662885927.0,2022-09-11 09:45:27.000000
3173,1662885927.25,2022-09-11 09:45:27.250000
3174,1662885927.5,2022-09-11 09:45:27.500000
3175,1662885927.75,2022-09-11 09:45:27.750000
3176,1662885928.0,2022-09-11 09:45:28.000000
3177,1662885928.25,2022-09-11 09:45:28.250000
3178,1662885928.5,2022-09-11 09:45:28.500000
3179,1662885928.75,2022-09-11 09:45:28.750000
3180,1662885929.0,2022-09-11 09:45:29.000000
3181,1662885929.25,2022-09-11 09:45:29.250000
3182,1662885929.5,2022-09-11 09:45:29.500000
3183,1662885929.75,2022-09-11 09:45:29.750000
3184,1662885930.0,2022-09-11 09:45:30.000000
3185,1662885930.25,2022-09-11 09:45:30.250000
3186,1662885930.5,2022-09-11 09:45:30.500000
3187,1662885930.75,2022-09-11 09:45:30.750000
3188,1662885931.0,2022-09-11 09:45:31.000000
3189,1662885931.25,2022-09-11 09:45:31.250000
3190,1662885931.5,2022-09-11 09:45:31.500000
3191,1662885931.75,2022-09-11 09:45:31.750000
3192,1662885932.0,2022-09-11 09:45:32.000000
3193,1662885932.25,2022-09-11 09:45:32.250000
3194,1662885932.5,2022-09-11 09:45:32.500000
3195,1662885932.75,2022-09-11 09:45:32.750000
3196,1662885933.0,2022-09-11 09:45:33.000000
3197,1662885933.25,2022-09-11 09:45:33.250000
3198,1662885933.5,2022-09-11 09:45:33.500000
3199,1662885933.75,2022-09-11 09:45:33.750000
3200,1662885934.0,2022-09-11 09:45:34.000000
3201,1662885934.25,2022-09-11 09:45:34.250000
3202,1662885934.5,2022-09-11 09:45:34.500000
3203,1662885934.75,2022-09-11 09:45:34.750000
3204,1662885935.0,2022-09-11 09:45:35.000000
3205,1662885935.25,2022-09-11 09:45:35.250000
3206,1662885935.5,2022-09-11 09:45:35.500000
3207,1662885935.75,2022-09-11 09:45:35.750000
3208,1662885936.0,2022-09-11 09:45:36.000000
3209,1662885936.25,2022-09-11 09:45:36.250000
3210,1662885936.5,2022-09-11 09:45:36.500000
3211,1662885936.75,2022-09-11 09:45:36.750000
3212,1662885937.0,2022-09-11 09:45:37.000000
3213,1662885937.25,2022-09-11 09:45:37.250000
3214,1662885937.5,2022-09-11 09:45:37.500000
3215,1662885937.75,2022-09-11 09:45:37.750000
3216,1662885938.0,2022-09-11 09:45:38.000000
3217,1662885938.25,2022-09-11 09:45:38.250000
3218,1662885938.5,2022-09-11 09:45:38.500000
3219,1662885938.75,2022-09-11 09:45:38.750000
3220,1662885939.0,2022-09-11 09:45:39.000000
3221,1662885939.25,2022-09-11 09:45:39.250000
3222,1662885939.5,2022-09-11 09:45:39.500000
3223,1662885939.75,2022-09-11 09:45:39.750000
3224,1662885940.0,2022-09-11 09:45:40.000000
3225,1662885940.25,2022-09-11 09:45:40.250000
3226,1662885940.5,2022-09-11 09:45:40.500000
3227,1662885940.75,2022-09-11 09:45:40.750000
3228,1662885941.0,2022-09-11 09:45:41.000000
3229,1662885941.25,2022-09-11 09:45:41.250000
3230,1662885941.5,2022-09-11 09:45:41.500000
3231,1662885941.75,2022-09-11 09:45:41.750000
3232,1662885942.0,2022-09-11 09:45:42.000000
3233,1662885942.25,2022-09-11 09:45:42.250000
3234,1662885942.5,2022-09-11 09:45:42.500000
3235,1662885942.75,2022-09-11 09:45:42.750000
3236,1662885943.0,2022-09-11 09:45:43.000000
3237,1662885943.25,2022-09-11 09:45:43.250000
3238,1662885943.5,2022-09-11 09:45:43.500000
3239,1662885943.75,2022-09-11 09:45:43.750000
3240,1662885944.0,2022-09-11 09:45:44.000000
3241,1662885944.25,2022-09-11 09:45:44.250000
3242,1662885944.5,2022-09-11 09:45:44.500000
3243,1662885944.75,2022-09-11 09:45:44.750000
3244,1662885945.0,2022-09-11 09:45:45.000000
3245,1662885945.25,2022-09-11 09:45:45.250000
3246,1662885945.5,2022-09-11 09:45:45.500000
3247,1662885945.75,2022-09-11 09:45:45.750000
3248,1662885946.0,2022-09-11 09:45:46.000000
3249,1662885946.25,2022-09-11 09:45:46.250000
3250,1662885946.5,2022-09-11 09:45:46.500000
3251,1662885946.75,2022-09-11 09:45:46.750000
3252,1662885947.0,2022-09-11 09:45:47.000000
3253,1662885947.25,2022-09-11 09:45:47.250000
3254,1662885947.5,2022-09-11 09:45:47.500000
3255,1662885947.75,2022-09-11 09:45:47.750000
3256,1662885948.0,2022-09-11 09:45:48.000000
3257,1662885948.25,2022-09-11 09:45:48.250000
3258,1662885948.5,2022-09-11 09:45:48.500000
3259,1662885948.75,2022-09-11 09:45:48.750000
3260,1662885949.0,2022-09-11 09:45:49.000000
3261,1662885949.25,2022-09-11 09:45:49.250000
3262,1662885949.5,2022-09-11 09:45:49.500000
3263,1662885949.75,2022-09-11 09:45:49.750000
3264,1662885950.0,2022-09-11 09:45:50.000000
3265,1662885950.25,2022-09-11 09:45:50.250000
3266,1662885950.5,2022-09-11 09:45:50.500000
3267,1662885950.75,2022-09-11 09:45:50.750000
3268,1662885951.0,2022-09-11 09:45:51.000000
3269,1662885951.25,2022-09-11 09:45:51.250000
3270,1662885951.5,2022-09-11 09:45:51.500000
3271,1662885951.75,2022-09-11 09:45:51.750000
3272,1662885952.0,2022-09-11 09:45:52.000000
3273,1662885952.25,2022-09-11 09:45:52.250000
3274,1662885952.5,2022-09-11 09:45:52.500000
3275,1662885952.75,2022-09-11 09:45:52.750000
3276,1662885953.0,2022-09-11 09:45:53.000000
3277,1662885953.25,2022-09-11 09:45:53.250000
3278,1662885953.5,2022-09-11 09:45:53.500000
3279,1662885953.75,2022-09-11 09:45:53.750000
3280,1662885954.0,2022-09-11 09:45:54.000000
3281,1662885954.25,2022-09-11 09:45:54.250000
3282,1662885954.5,2022-09-11 09:45:54.500000
3283,1662885954.75,2022-09-11 09:45:54.750000
3284,1662885955.0,2022-09-11 09:45:55.000000
3285,1662885955.25,2022-09-11 09:45:55.250000
3286,1662885955.5,2022-09-11 09:45:55.500000
3287,1662885955.75,2022-09-11 09:45:55.750000
3288,1662885956.0,2022-09-11 09:45:56.000000
3289,1662885956.25,2022-09-11 09:45:56.250000
3290,1662885956.5,2022-09-11 09:45:56.500000
3291,1662885956.75,2022-09-11 09:45:56.750000
3292,1662885957.0,2022-09-11 09:45:57.000000
3293,1662885957.25,2022-09-11 09:45:57.250000
3294,1662885957.5,2022-09-11 09:45:57.500000
3295,1662885957.75,2022-09-11 09:45:57.750000
3296,1662885958.0,2022-09-11 09:45:58.000000
3297,1662885958.25,2022-09-11 09:45:58.250000
3298,1662885958.5,2022-09-11 09:45:58.500000
3299,1662885958.75,2022-09-11 09:45:58.750000
3300,1662885959.0,2022-09-11 09:45:59.000000
3301,1662885959.25,2022-09-11 09:45:59.250000
3302,1662885959.5,2022-09-11 09:45:59.500000
3303,1662885959.75,2022-09-11 09:45:59.750000
3304,1662885960.0,2022-09-11 09:46:00.000000
3305,1662885960.25,2022-09-11 09:46:00.250000
3306,1662885960.5,2022-09-11 09:46:00.500000
3307,1662885960.75,2022-09-11 09:46:00.750000
