,VIF Factor,features
46,11235194500.1,max_scr
44,3254963195.8,eda_dynamic_range
33,2821995239.9,scr_range
47,1964291393.2,min_scr
30,1602426777.8,mean_scl
40,1044428358.8,mean_eda
15,614942411.9,HRV_LF
42,362879685.9,min_eda
43,53283167.3,max_eda
12,30734409.1,total_power
14,11742557.6,HRV_VLF
45,11589042.5,mean_scr
16,5661799.4,HRV_HF
70,441275.0,range_temp
68,44022.1,min_temp
69,17813.7,max_temp
63,15200.3,INSC
66,14328.8,mean_temp
3,12465.0,std_HRV
21,9476.6,HRV_SD2
20,5078.4,HRV_SD1
22,2853.3,HRV_SDSD
65,1231.6,RMSC
13,978.1,HRV_RMSSD
17,518.8,HRV_LFHF
18,489.2,HRV_LFnorm
55,129.6,max_peaks
32,128.9,std_scr
59,103.3,max_onsets
26,87.5,std_relativeRRI
9,82.5,nn20
7,82.2,nn50
54,74.7,mean_peaks
51,70.2,std_first_grad
62,62.0,ALSC
27,61.7,RMSSD_relativeRRI
58,58.6,mean_onsets
8,57.9,HRV_pNN50
2,55.0,mean_HRV
64,44.7,APSC
56,43.0,min_peaks
0,38.6,mean_HR
61,36.3,std_onsets
67,31.2,std_temp
57,30.1,std_peaks
60,29.9,min_onsets
10,23.4,HRV_pNN20
53,23.3,std_second_grad
6,21.6,rms
37,15.2,sum_scr_amplitude
1,12.6,std_HR
31,10.3,std_scl
39,8.5,num_scr_peaks
19,7.4,HRV_HFnorm
38,6.8,area_of_response_curve
4,5.8,kurtosis_HRV
49,4.5,skewness_scr
36,4.3,sum_scr_response_duration
50,4.3,mean_first_grad
41,4.1,std_eda
28,4.0,kurtosis_relativeRRI
23,3.6,HRV_SDSD_RMSSD
5,3.6,skewness_HRV
34,3.3,corr
35,3.0,eda_slope
11,2.9,HRV_HTI
48,1.9,kurtosis_scr
52,1.6,mean_second_grad
29,1.3,skew_relativeRRI
25,1.3,median_relativeRRI
24,1.3,mean_relativeRRI
71,1.1,temp_slope
